N,alpha,cutoff
93,0.01,0.0725
93,0.05,0.0425
94,0.001,0.1194
94,0.005,0.0868
94,0.01,0.073
94,0.05,0.0415
95,0.001,0.1169
95,0.005,0.0853
95,0.01,0.0705
95,0.05,0.0408
96,0.001,0.1121
96,0.005,0.0837
96,0.01,0.0692
96,0.05,0.04
97,0.001,0.1134
97,0.005,0.0832
97,0.01,0.0687
97,0.05,0.0397
98,0.001,0.1129
98,0.005,0.0827
98,0.01,0.0692
98,0.05,0.0401
99,0.001,0.1132
99,0.005,0.0788
99,0.01,0.0674
99,0.05,0.0387
100,0.001,0.1083
100,0.005,0.0787
100,0.01,0.0658
100,0.05,0.0383
101,0.001,0.1077
101,0.005,0.0797
101,0.01,0.0658
101,0.05,0.0381
102,0.001,0.1083
102,0.005,0.0771
102,0.01,0.0653
102,0.05,0.038
103,0.001,0.1024
103,0.005,0.0773
103,0.01,0.0648
103,0.05,0.0378
104,0.001,0.1053
104,0.005,0.0758
104,0.01,0.0644
104,0.05,0.0371
105,0.001,0.1022
105,0.005,0.0758
105,0.01,0.064
105,0.05,0.0367
106,0.001,0.1045
106,0.005,0.0759
106,0.01,0.064
106,0.05,0.0371
107,0.001,0.1015
107,0.005,0.0748
107,0.01,0.0626
107,0.05,0.0363
108,0.001,0.1057
108,0.005,0.0748
108,0.01,0.0632
108,0.05,0.0359
109,0.001,0.1053
109,0.005,0.0759
109,0.01,0.0629
109,0.05,0.0357
110,0.001,0.1012
110,0.005,0.0727
110,0.01,0.061
110,0.05,0.0346
111,0.001,0.0968
111,0.005,0.0722
111,0.01,0.0608
111,0.05,0.0348
112,0.001,0.1
112,0.005,0.0712
112,0.01,0.0603
112,0.05,0.0348
113,0.001,0.0961
113,0.005,0.0701
113,0.01,0.059
113,0.05,0.0339
114,0.001,0.0944
114,0.005,0.07
114,0.01,0.0592
114,0.05,0.034
115,0.001,0.0953
115,0.005,0.0696
115,0.01,0.0582
115,0.05,0.0336
116,0.001,0.0937
116,0.005,0.0684
116,0.01,0.0581
116,0.05,0.0336
117,0.001,0.0943
117,0.005,0.0676
117,0.01,0.0577
117,0.05,0.0332
118,0.001,0.0913
118,0.005,0.0689
118,0.01,0.0576
118,0.05,0.033
119,0.001,0.0895
119,0.005,0.0654
119,0.01,0.0562
119,0.05,0.0323
120,0.001,0.0917
