N,alpha,cutoff
141,0.01,0.0233
141,0.05,0.0134
142,0.001,0.0396
142,0.005,0.0278
142,0.01,0.0235
142,0.05,0.0134
143,0.001,0.0373
143,0.005,0.0275
143,0.01,0.023
143,0.05,0.0135
144,0.001,0.0368
144,0.005,0.0272
144,0.01,0.0231
144,0.05,0.0133
145,0.001,0.0363
145,0.005,0.0262
145,0.01,0.0224
145,0.05,0.0131
146,0.001,0.0366
146,0.005,0.0266
146,0.01,0.0223
146,0.05,0.013
147,0.001,0.0369
147,0.005,0.0262
147,0.01,0.0225
147,0.05,0.013
148,0.001,0.0372
148,0.005,0.0269
148,0.01,0.0225
148,0.05,0.0129
149,0.001,0.0358
149,0.005,0.0263
149,0.01,0.0218
149,0.05,0.0129
150,0.001,0.0347
150,0.005,0.026
150,0.01,0.0221
150,0.05,0.0128
151,0.001,0.0369
151,0.005,0.0261
151,0.01,0.0222
151,0.05,0.0127
152,0.001,0.0356
152,0.005,0.026
152,0.01,0.0218
152,0.05,0.0127
153,0.001,0.0352
153,0.005,0.0259
153,0.01,0.0216
153,0.05,0.0126
154,0.001,0.0354
154,0.005,0.0256
154,0.01,0.0215
154,0.05,0.0124
155,0.001,0.0355
155,0.005,0.0256
155,0.01,0.0214
155,0.05,0.0124
156,0.001,0.0346
156,0.005,0.0254
156,0.01,0.0213
156,0.05,0.0124
157,0.001,0.0334
157,0.005,0.025
157,0.01,0.0206
157,0.05,0.0121
158,0.001,0.0337
158,0.005,0.0251
158,0.01,0.0209
158,0.05,0.012
159,0.001,0.0343
159,0.005,0.0244
159,0.01,0.0206
159,0.05,0.0119
160,0.001,0.0345
160,0.005,0.0244
160,0.01,0.0203
160,0.05,0.0119
161,0.001,0.0328
161,0.005,0.0243
161,0.01,0.0204
161,0.05,0.0118
162,0.001,0.0341
162,0.005,0.0243
162,0.01,0.0203
162,0.05,0.0117
163,0.001,0.0318
163,0.005,0.0235
163,0.01,0.0203
163,0.05,0.0117
164,0.001,0.033
164,0.005,0.0246
164,0.01,0.0205
164,0.05,0.0117
165,0.001,0.0331
165,0.005,0.0238
165,0.01,0.02
165,0.05,0.0115
166,0.001,0.0328
166,0.005,0.024
166,0.01,0.02
166,0.05,0.0114
167,0.001,0.0319
167,0.005,0.0235
167,0.01,0.0201
167,0.05,0.0114
168,0.001,0.0317
168,0.005,0.0238
168,0.01,0.0196
168,0.05,0.0115
169,0.001,0.0314
169,0.005,0.0231
169,0.01,0.0193
169,0.05,0.0114
170,0.001,0.0325
170,0.005,0.0234
170,0.01,0.0198
170,0.05,0.0113
171,0.001,0.0312
171,0.005,0.0229
171,0.01,0.0193
171,0.05,0.0113
172,0.001,0.031
172,0.005,0.023
172,0.01,0.0191
172,0.05,0.0111
173,0.001,0.0327
173,0.005,0.0233
173,0.01,0.019
173,0.05,0.011
174,0.001,0.0309
174,0.005,0.0225
174,0.01,0.019
174,0.05,0.011
175,0.001,0.031
175,0.005,0.0222
175,0.01,0.0186
175,0.05,0.011
176,0.001,0.0301
176,0.005,0.0225
176,0.01,0.0188
176,0.05,0.0109
177,0.001,0.0304
177,0.005,0.0222
177,0.01,0.0187
177,0.05,0.0109
178,0.001,0.0323
178,0.005,0.0225
178,0.01,0.0189
178,0.05,0.0107
179,0.001,0.0297
179,0.005,0.0213
179,0.01,0.0181
179,0.05,0.0107
180,0.001,0.0303
180,0.005,0.0218
180,0.01,0.0184
180,0.05,0.0106
181,0.001,0.0296
181,0.005,0.0217
181,0.01,0.0183
181,0.05,0.0106
182,0.001,0.0303
182,0.005,0.0219
182,0.01,0.0185
182,0.05,0.0107
183,0.001,0.0302
183,0.005,0.0213
183,0.01,0.0182
183,0.05,0.0104
184,0.001,0.0287
184,0.005,0.0217
184,0.01,0.0184
184,0.05,0.0105
185,0.001,0.0287
185,0.005,0.0214
185,0.01,0.0181
185,0.05,0.0102
186,0.001,0.0287
186,0.005,0.021
186,0.01,0.0177
186,0.05,0.0102
187,0.001,0.0289
187,0.005,0.0209
187,0.01,0.0176
187,0.05,0.0102
188,0.001,0.0288
188,0.005,0.0208
188,0.01,0.0177
188,0.05,0.0102
189,0.001,0.0285
189,0.005,0.021
189,0.01,0.0176
189,0.05,0.0101
190,0.001,0.0283
190,0.005,0.0206
190,0.01,0.0173
190,0.05,0.0099
191,0.001,0.0282
191,0.005,0.0208
191,0.01,0.0172
191,0.05,0.01
192,0.001,0.0278
192,0.005,0.0206
192,0.01,0.0173
192,0.05,0.0099
193,0.001,0.0281
193,0.005,0.0203
193,0.01,0.0171
193,0.05,0.0101
194,0.001,0.0285
194,0.005,0.0208
194,0.01,0.0173
194,0.05,0.0099
195,0.001,0.0287
195,0.005,0.0203
195,0.01,0.0169
195,0.05,0.0099
196,0.001,0.028
196,0.005,0.0197
196,0.01,0.0168
196,0.05,0.0098
197,0.001,0.027
197,0.005,0.0198
197,0.01,0.0166
197,0.05,0.0097
198,0.001,0.0273
198,0.005,0.0197
198,0.01,0.0168
198,0.05,0.0097
199,0.001,0.0271
199,0.005,0.0194
199,0.01,0.0165
199,0.05,0.0095
200,0.001,0.0274
